year,sex,n,n_miss,age_mean,age_sd,cod
2008,All,2471984,147,72.63951546966892,18.823882350314246,all_deaths
2008,F,1245787,45,76.26666516822905,17.703974747918572,all_deaths
2008,M,1226197,102,68.95424416541948,19.20817254834697,all_deaths
2009,All,2437163,255,72.54717986891585,18.736948924132975,all_deaths
2009,F,1219784,78,76.05031458400632,17.73917872380265,all_deaths
2009,M,1217379,177,69.03683858554291,19.050550979801425,all_deaths
2010,All,2468435,126,72.94146316364767,18.51817866898258,all_deaths
2010,F,1236003,39,76.41508409630053,17.52122295100866,all_deaths
2010,M,1232432,87,69.45764132608969,18.834009405146777,all_deaths
2011,All,2515458,134,73.06891120189685,18.46173985078742,all_deaths
2011,F,1260480,35,76.52666320228174,17.478666032201456,all_deaths
2011,M,1254978,99,69.59582238606272,18.76841634662101,all_deaths
2012,All,2543279,147,73.15259491052765,18.38506844529525,all_deaths
2012,F,1269557,47,76.5733054485589,17.43377372859581,all_deaths
2012,M,1273722,100,69.74292843559549,18.673134305381996,all_deaths
2013,All,2596993,132,73.24481941852106,18.270239718086444,all_deaths
2013,F,1290959,37,76.61306957352961,17.362904146950616,all_deaths
2013,M,1306034,95,69.91530079123145,18.53270065981874,all_deaths
2014,All,2626418,163,73.16892647515188,18.237136063715532,all_deaths
2014,F,1298177,53,76.47685352092712,17.388018192460734,all_deaths
2014,M,1328241,110,69.93573676090686,18.466488568687165,all_deaths
2015,All,2712630,138,73.23196455510283,18.275621569461954,all_deaths
2015,F,1339226,43,76.57677255460979,17.39394421758776,all_deaths
2015,M,1373404,95,69.9702732596961,18.52343827685442,all_deaths
2016,All,2744248,137,72.95683702299215,18.406808741109455,all_deaths
2016,F,1344016,40,76.33411534134538,17.519523679561683,all_deaths
2016,M,1400232,97,69.71502033732462,18.653451859690993,all_deaths
0,All,351630,66,41.048935613430274,12.755520134249144,all_opioids
0,F,120366,13,43.49661412677706,12.905108210300819,all_opioids
0,M,231264,53,39.774837702358454,12.488554692864858,all_opioids
1999,All,8050,6,39.84361014420686,10.685257066762256,all_opioids
1999,F,2057,1,41.30204280155642,12.103877873305299,all_opioids
1999,M,5993,5,39.342852371409485,10.10523485716882,all_opioids
2e3,All,8407,10,39.81159938073122,10.778498516896487,all_opioids
2e3,F,2264,1,41.789217852408306,11.756640370483543,all_opioids
2e3,M,6143,9,39.0820019563091,10.299982452197074,all_opioids
2001,All,9496,7,39.99862999262304,11.26898333814224,all_opioids
2001,F,2767,0,41.854716299241055,11.802875918767871,all_opioids
2001,M,6729,7,39.23460279678667,10.951591901737192,all_opioids
2002,All,11920,7,40.25258121380005,11.419495803799853,all_opioids
2002,F,3760,2,41.97418839808409,11.921472456436533,all_opioids
2002,M,8160,5,39.45922746781116,11.091748359455977,all_opioids
2003,All,12940,3,40.324341037334776,11.679764706659046,all_opioids
2003,F,4138,0,42.425084581923635,12.110514355115917,all_opioids
2003,M,8802,3,39.33640186384817,11.33851729139408,all_opioids
2004,All,13756,4,40.33878708551483,12.026225768899094,all_opioids
2004,F,4643,2,42.73604826546003,12.051306081074294,all_opioids
2004,M,9113,2,39.11765997146307,11.828753728316412,all_opioids
2005,All,14918,1,40.69960447811222,12.328036579228282,all_opioids
2005,F,5161,0,43.07750435962023,12.478128138169925,all_opioids
2005,M,9757,1,39.44167691676917,12.060371858530393,all_opioids
2006,All,17545,5,40.48278221208666,12.421135674742802,all_opioids
2006,F,5945,1,43.17193808882907,12.530496396458096,all_opioids
